"Uuid","Fully specified name:fr","Short name:fr","Description:fr","Data class","Data type","Absolute low","Absolute high","Normal low","Normal high","Units","Allow decimals"
"f05f813d-6a57-47ce-92da-40fb565c8992","Glycémie (laboratoire) (Clinique Fasse)","Glycémie","Glycémie à jeun mesurée en laboratoire.","Test","Numeric","0","6","0.7","1.1","g/L","true"
"df44da8b-b18c-4a9d-ac4b-435552de01c5","CRP (Clinique Fasse)","CRP","Protéine C-réactive.","Test","Numeric","0","300","0","6","mg/L","true"
"e8887b1c-ebe3-4cad-b8d5-c22df3db954e","Urée (Clinique Fasse)","Urée","Urée sanguine.","Test","Numeric","0","5","0.1","0.5","g/L","true"
"2a3eb89f-681e-4dae-a88a-5ea9e8bda39b","NFS (Clinique Fasse)","NFS","Numération formule sanguine (résultat global).","Test","Text","","","","","",""
"19a2aebc-f818-47a9-8e6b-092cc4095bc4","Bilan hépatique (Clinique Fasse)","Bilan hépatique","Bilan hépatique (résultat global).","Test","Text","","","","","",""
"00f44c8f-712f-4f22-9914-1c653bf68fa3","Bilan lipidique (Clinique Fasse)","Bilan lipidique","Bilan lipidique (résultat global).","Test","Text","","","","","",""
"9fcb5925-a006-4ada-8ed4-f52ca29bd260","TSH (Clinique Fasse)","TSH","Hormone thyréostimulante.","Test","Numeric","0","100","0.4","4","mUI/L","true"
"748a4d24-d7c2-4c3c-bba6-5e297f4b7bc8","Sérologies (Clinique Fasse)","Sérologies","Résultat de sérologie(s) demandée(s).","Test","Text","","","","","",""
"61fdde85-44ee-46fe-94fc-2646a74e2a02","Examens urinaires (Clinique Fasse)","Examens urinaires","Résultat des examens urinaires (ECBU, bandelette...).","Test","Text","","","","","",""
"695def8a-fd78-4067-a6c2-221cbcf7ca4a","Holter ECG (Clinique Fasse)","Holter ECG","Résultat de l'enregistrement Holter ECG.","Test","Text","","","","","",""
"966ae629-e266-49f3-8084-e75a37c0f391","Spirométrie (Clinique Fasse)","Spirométrie","Résultat de la spirométrie.","Test","Text","","","","","",""
"7f6485fc-d930-46f2-8b55-5e2dc7bc5436","Polygraphie (Clinique Fasse)","Polygraphie","Résultat de la polygraphie du sommeil.","Test","Text","","","","","",""
"c2a7576a-488d-400b-a5ba-3a57587f564d","Échographie (Clinique Fasse)","Échographie","Compte-rendu d'échographie.","Test","Text","","","","","",""
"00e05110-761f-4ca6-87e1-0cc9b802ddb5","Radiographie (Clinique Fasse)","Radiographie","Compte-rendu de radiographie.","Test","Text","","","","","",""
